index,Region,Country,Year,Age,Gender,Literacy rate
63,Central and Southern Asia,Bangladesh,2014,15-24,male,0.8462868
64,Central and Southern Asia,Bangladesh,2014,15-24,total,0.8555473
65,Central and Southern Asia,Bangladesh,2014,25-64,female,0.4988794999999999
66,Central and Southern Asia,Bangladesh,2014,25-64,male,0.5874759
67,Central and Southern Asia,Bangladesh,2014,25-64,total,0.5425126
68,Central and Southern Asia,Bangladesh,2014,65+,female,0.2285389999999999
69,Central and Southern Asia,Bangladesh,2014,65+,male,0.4045049
70,Central and Southern Asia,Bangladesh,2014,65+,total,0.3214683999999999
71,Central and Southern Asia,Bangladesh,2015,15+,female,0.6225298999999999
72,Central and Southern Asia,Bangladesh,2015,15+,male,0.6805535999999999
73,Central and Southern Asia,Bangladesh,2015,15+,total,0.6513733
74,Central and Southern Asia,Bangladesh,2015,15-24,female,0.8953506
75,Central and Southern Asia,Bangladesh,2015,15-24,male,0.8618795
76,Central and Southern Asia,Bangladesh,2015,15-24,total,0.8788876999999999
77,Central and Southern Asia,Bangladesh,2015,25-64,female,0.5518569999999999
78,Central and Southern Asia,Bangladesh,2015,25-64,male,0.6363317
79,Central and Southern Asia,Bangladesh,2015,25-64,total,0.5936339
80,Central and Southern Asia,Bangladesh,2015,65+,female,0.1927993
81,Central and Southern Asia,Bangladesh,2015,65+,male,0.4282918999999999
82,Central and Southern Asia,Bangladesh,2015,65+,total,0.3209923
83,Central and Southern Asia,Bangladesh,2016,15+,female,0.6989720999999999
84,Central and Southern Asia,Bangladesh,2016,15+,male,0.7561884999999999
85,Central and Southern Asia,Bangladesh,2016,15+,total,0.7275871999999999
86,Central and Southern Asia,Bangladesh,2016,15-24,female,0.9353532
87,Central and Southern Asia,Bangladesh,2016,15-24,male,0.9090535
88,Central and Southern Asia,Bangladesh,2016,15-24,total,0.9224265
89,Central and Southern Asia,Bangladesh,2016,25-64,female,0.6415068999999999
90,Central and Southern Asia,Bangladesh,2016,25-64,male,0.7201342
91,Central and Southern Asia,Bangladesh,2016,25-64,total,0.6807324
92,Central and Southern Asia,Bangladesh,2016,65+,female,0.2502289999999999
93,Central and Southern Asia,Bangladesh,2016,65+,male,0.5244415
94,Central and Southern Asia,Bangladesh,2016,65+,total,0.4004648
95,Central and Southern Asia,Bangladesh,2017,15+,female,0.700857
96,Central and Southern Asia,Bangladesh,2017,15+,male,0.7570236
97,Central and Southern Asia,Bangladesh,2017,15+,total,0.7289297
98,Central and Southern Asia,Bangladesh,2017,15-24,female,0.9437776
99,Central and Southern Asia,Bangladesh,2017,15-24,male,0.9154129
100,Central and Southern Asia,Bangladesh,2017,15-24,total,0.9295076
101,Central and Southern Asia,Bangladesh,2017,25-64,female,0.6501461999999999
102,Central and Southern Asia,Bangladesh,2017,25-64,male,0.7207032999999999
103,Central and Southern Asia,Bangladesh,2017,25-64,total,0.6852086
104,Central and Southern Asia,Bangladesh,2017,65+,female,0.2716704999999999
105,Central and Southern Asia,Bangladesh,2017,65+,male,0.5108920999999998
106,Central and Southern Asia,Bangladesh,2017,65+,total,0.3946718
107,Central and Southern Asia,Bangladesh,2018,15+,female,0.7118193999999999
108,Central and Southern Asia,Bangladesh,2018,15+,male,0.7666926
109,Central and Southern Asia,Bangladesh,2018,15+,total,0.739122
110,Central and Southern Asia,Bangladesh,2018,15-24,female,0.9491259
111,Central and Southern Asia,Bangladesh,2018,15-24,male,0.9180372
112,Central and Southern Asia,Bangladesh,2018,15-24,total,0.9329644
113,Central and Southern Asia,Bangladesh,2018,25-64,female,0.6682162999999999
114,Central and Southern Asia,Bangladesh,2018,25-64,male,0.7283193
115,Central and Southern Asia,Bangladesh,2018,25-64,total,0.6975239
116,Central and Southern Asia,Bangladesh,2018,65+,female,0.2676438999999999
117,Central and Southern Asia,Bangladesh,2018,65+,male,0.530741
118,Central and Southern Asia,Bangladesh,2018,65+,total,0.4012044999999999
119,Central and Southern Asia,Bhutan,2012,15+,female,0.4801655999999999
120,Central and Southern Asia,Bhutan,2012,15+,male,0.6600306
121,Central and Southern Asia,Bhutan,2012,15+,total,0.570336
122,Central and Southern Asia,Bhutan,2012,15-24,female,0.8448774
123,Central and Southern Asia,Bhutan,2012,15-24,male,0.9039581
124,Central and Southern Asia,Bhutan,2012,15-24,total,0.8731836
125,Central and Southern Asia,Bhutan,2012,25-64,female,0.3561216999999999
126,Central and Southern Asia,Bhutan,2012,25-64,male,0.6149388
127,Central and Southern Asia,Bhutan,2012,25-64,total,0.4870709
128,Central and Southern Asia,Bhutan,2012,65+,female,0.0386781
129,Central and Southern Asia,Bhutan,2012,65+,male,0.2428077
130,Central and Southern Asia,Bhutan,2012,65+,total,0.1493796
131,Central and Southern Asia,Bhutan,2017,15+,female,0.5708362
132,Central and Southern Asia,Bhutan,2017,15+,male,0.7501985000000001
133,Central and Southern Asia,Bhutan,2017,15+,total,0.6656115
134,Central and Southern Asia,Bhutan,2017,15-24,female,0.9289112
135,Central and Southern Asia,Bhutan,2017,15-24,male,0.9327016
136,Central and Southern Asia,Bhutan,2017,15-24,total,0.9309063
137,Central and Southern Asia,Bhutan,2017,25-64,female,0.4842457
138,Central and Southern Asia,Bhutan,2017,25-64,male,0.7219546
139,Central and Southern Asia,Bhutan,2017,25-64,total,0.6106931999999999
140,Central and Southern Asia,Bhutan,2017,65+,female,0.0940589
141,Central and Southern Asia,Bhutan,2017,65+,male,0.3596824999999999
142,Central and Southern Asia,Bhutan,2017,65+,total,0.2285833999999999
143,Central and Southern Asia,India,2011,15+,female,0.5927732
144,Central and Southern Asia,India,2011,15+,male,0.7887722999999999
145,Central and Southern Asia,India,2011,15+,total,0.6930256
146,Central and Southern Asia,India,2011,15-24,female,0.8184981
147,Central and Southern Asia,India,2011,15-24,male,0.9004483
148,Central and Southern Asia,India,2011,15-24,total,0.8614488
149,Central and Southern Asia,India,2011,25-64,female,0.5399607
150,Central and Southern Asia,India,2011,25-64,male,0.7647395
151,Central and Southern Asia,India,2011,25-64,total,0.6543286999999999
152,Central and Southern Asia,India,2011,65+,female,0.2669628
153,Central and Southern Asia,India,2011,65+,male,0.5717636999999999
154,Central and Southern Asia,India,2011,65+,total,0.4160356999999999
155,Central and Southern Asia,India,2018,15+,female,0.6579080999999998
156,Central and Southern Asia,India,2018,15+,male,0.8236670999999999
157,Central and Southern Asia,India,2018,15+,total,0.7437299
158,Central and Southern Asia,India,2018,15-24,female,0.9016941
159,Central and Southern Asia,India,2018,15-24,male,0.9299297
160,Central and Southern Asia,India,2018,15-24,total,0.9166404
161,Central and Southern Asia,India,2018,25-64,female,0.6172655
162,Central and Southern Asia,India,2018,25-64,male,0.8073891999999999
163,Central and Southern Asia,India,2018,25-64,total,0.7157668999999999
164,Central and Southern Asia,India,2018,65+,female,0.3028636
165,Central and Southern Asia,India,2018,65+,male,0.6167022999999999
166,Central and Southern Asia,India,2018,65+,total,0.4537899
167,Central and Southern Asia,Iran (Islamic Republic of),2012,15+,female,0.7841626999999999
168,Central and Southern Asia,Iran (Islamic Republic of),2012,15+,male,0.8887981999999999
169,Central and Southern Asia,Iran (Islamic Republic of),2012,15+,total,0.8362599
170,Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,female,0.9766179
171,Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,male,0.9833392
172,Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,total,0.980144
173,Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,female,0.7834703
174,Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,male,0.9016577
175,Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,total,0.8412421999999999
176,Central and Southern Asia,Iran (Islamic Republic of),2012,65+,female,0.2064464999999999
177,Central and Southern Asia,Iran (Islamic Republic of),2012,65+,male,0.4489144999999999
178,Central and Southern Asia,Iran (Islamic Republic of),2012,65+,total,0.3261884999999999
179,Central and Southern Asia,Iran (Islamic Republic of),2013,15+,female,0.7975584000000001
180,Central and Southern Asia,Iran (Islamic Republic of),2013,15+,male,0.8954248
181,Central and Southern Asia,Iran (Islamic Republic of),2013,15+,total,0.846268
182,Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,female,0.9743798
183,Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,male,0.9810902
184,Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,total,0.977773
185,Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,female,0.8041680999999999
186,Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,male,0.9125407
187,Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,total,0.8579419999999999
188,Central and Southern Asia,Iran (Islamic Republic of),2013,65+,female,0.2246233
189,Central and Southern Asia,Iran (Islamic Republic of),2013,65+,male,0.4660938
190,Central and Southern Asia,Iran (Islamic Republic of),2013,65+,total,0.3425026999999999
191,Central and Southern Asia,Iran (Islamic Republic of),2014,15+,female,0.7983934999999999
192,Central and Southern Asia,Iran (Islamic Republic of),2014,15+,male,0.8963541999999999
193,Central and Southern Asia,Iran (Islamic Republic of),2014,15+,total,0.8470524
194,Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,female,0.9767817
195,Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,male,0.9819154
196,Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,total,0.9793787
197,Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,female,0.8084387
198,Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,male,0.9140845
199,Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,total,0.8607833999999999
200,Central and Southern Asia,Iran (Islamic Republic of),2014,65+,female,0.22445
201,Central and Southern Asia,Iran (Islamic Republic of),2014,65+,male,0.4697359
202,Central and Southern Asia,Iran (Islamic Republic of),2014,65+,total,0.3428903999999999
203,Central and Southern Asia,Iran (Islamic Republic of),2016,15+,female,0.8078743999999999
204,Central and Southern Asia,Iran (Islamic Republic of),2016,15+,male,0.9035241
205,Central and Southern Asia,Iran (Islamic Republic of),2016,15+,total,0.8554425000000001
206,Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,female,0.9792513
207,Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,male,0.9826797
208,Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,total,0.9810135
209,Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,female,0.8259800999999999
210,Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,male,0.9226007
211,Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,total,0.8738487
212,Central and Southern Asia,Iran (Islamic Republic of),2016,65+,female,0.2488207999999999
213,Central and Southern Asia,Iran (Islamic Republic of),2016,65+,male,0.4994368999999999
214,Central and Southern Asia,Iran (Islamic Republic of),2016,65+,total,0.3677053
215,Central and Southern Asia,Kazakhstan,2010,15+,female,0.9973899
216,Central and Southern Asia,Kazakhstan,2010,15+,male,0.9982968
217,Central and Southern Asia,Kazakhstan,2010,15+,total,0.9978163
218,Central and Southern Asia,Kazakhstan,2010,15-24,female,0.9985091
219,Central and Southern Asia,Kazakhstan,2010,15-24,male,0.9994014
220,Central and Southern Asia,Kazakhstan,2010,15-24,total,0.9989736
221,Central and Southern Asia,Kazakhstan,2010,25-64,female,0.9974727
222,Central and Southern Asia,Kazakhstan,2010,25-64,male,0.9983287
223,Central and Southern Asia,Kazakhstan,2010,25-64,total,0.9978774
224,Central and Southern Asia,Kazakhstan,2010,65+,female,0.9952126
225,Central and Southern Asia,Kazakhstan,2010,65+,male,0.9944912
226,Central and Southern Asia,Kazakhstan,2010,65+,total,0.9949632
227,Central and Southern Asia,Kyrgyzstan,2018,15+,female,0.9949972
228,Central and Southern Asia,Kyrgyzstan,2018,15+,male,0.9967701
229,Central and Southern Asia,Kyrgyzstan,2018,15+,total,0.99586
230,Central and Southern Asia,Kyrgyzstan,2018,15-24,female,0.9981
231,Central and Southern Asia,Kyrgyzstan,2018,15-24,male,0.9969
232,Central and Southern Asia,Kyrgyzstan,2018,15-24,total,0.9975
233,Central and Southern Asia,Kyrgyzstan,2018,25-64,female,0.9978392
234,Central and Southern Asia,Kyrgyzstan,2018,25-64,male,0.9974627
235,Central and Southern Asia,Kyrgyzstan,2018,25-64,total,0.9976552
236,Central and Southern Asia,Kyrgyzstan,2018,65+,female,0.9616295
237,Central and Southern Asia,Kyrgyzstan,2018,65+,male,0.987103
238,Central and Southern Asia,Kyrgyzstan,2018,65+,total,0.9713379
239,Central and Southern Asia,Maldives,2014,15+,female,0.9869167
240,Central and Southern Asia,Maldives,2014,15+,male,0.9852034
241,Central and Southern Asia,Maldives,2014,15+,total,0.9861012
242,Central and Southern Asia,Maldives,2014,15-24,female,0.9943955
243,Central and Southern Asia,Maldives,2014,15-24,male,0.9908133
244,Central and Southern Asia,Maldives,2014,15-24,total,0.9926837999999998
245,Central and Southern Asia,Maldives,2014,25-64,female,0.9901342
246,Central and Southern Asia,Maldives,2014,25-64,male,0.9890561
247,Central and Southern Asia,Maldives,2014,25-64,total,0.9896275
248,Central and Southern Asia,Maldives,2014,65+,female,0.921363
249,Central and Southern Asia,Maldives,2014,65+,male,0.9331756
250,Central and Southern Asia,Maldives,2014,65+,total,0.9275723
251,Central and Southern Asia,Maldives,2016,15+,female,0.9811471
252,Central and Southern Asia,Maldives,2016,15+,male,0.9729893
253,Central and Southern Asia,Maldives,2016,15+,total,0.9773495
254,Central and Southern Asia,Maldives,2016,15-24,female,0.9908863
255,Central and Southern Asia,Maldives,2016,15-24,male,0.9839115
256,Central and Southern Asia,Maldives,2016,15-24,total,0.9875365
257,Central and Southern Asia,Maldives,2016,25-64,female,0.9857746
258,Central and Southern Asia,Maldives,2016,25-64,male,0.9763757
259,Central and Southern Asia,Maldives,2016,25-64,total,0.9815238
260,Central and Southern Asia,Maldives,2016,65+,female,0.8909256000000001
261,Central and Southern Asia,Maldives,2016,65+,male,0.912063
262,Central and Southern Asia,Maldives,2016,65+,total,0.9023111
263,Central and Southern Asia,Nepal,2011,15+,female,0.4883758999999999
264,Central and Southern Asia,Nepal,2011,15+,male,0.7170838
265,Central and Southern Asia,Nepal,2011,15+,total,0.5962724999999999
266,Central and Southern Asia,Nepal,2011,15-24,female,0.8020682999999998
267,Central and Southern Asia,Nepal,2011,15-24,male,0.8988402
268,Central and Southern Asia,Nepal,2011,15-24,total,0.8475714999999999
269,Central and Southern Asia,Nepal,2011,25-64,female,0.3849667
270,Central and Southern Asia,Nepal,2011,25-64,male,0.6764494
271,Central and Southern Asia,Nepal,2011,25-64,total,0.521677
272,Central and Southern Asia,Nepal,2011,65+,female,0.0602554
273,Central and Southern Asia,Nepal,2011,65+,male,0.3563503999999999
274,Central and Southern Asia,Nepal,2011,65+,total,0.2078409
275,Central and Southern Asia,Nepal,2018,15+,female,0.5972443
276,Central and Southern Asia,Nepal,2018,15+,male,0.7859133999999999
277,Central and Southern Asia,Nepal,2018,15+,total,0.6790842999999999
278,Central and Southern Asia,Nepal,2018,15-24,female,0.9088347
279,Central and Southern Asia,Nepal,2018,15-24,male,0.9403428
280,Central and Southern Asia,Nepal,2018,15-24,total,0.9239381
281,Central and Southern Asia,Nepal,2018,25-64,female,0.5134549999999999
282,Central and Southern Asia,Nepal,2018,25-64,male,0.7444488
283,Central and Southern Asia,Nepal,2018,25-64,total,0.6071325
284,Central and Southern Asia,Nepal,2018,65+,female,0.0865249
285,Central and Southern Asia,Nepal,2018,65+,male,0.4150308999999999
286,Central and Southern Asia,Nepal,2018,65+,total,0.2362915999999999
287,Central and Southern Asia,Pakistan,2010,15+,female,0.4101553
288,Central and Southern Asia,Pakistan,2010,15+,male,0.6890061
289,Central and Southern Asia,Pakistan,2010,15+,total,0.5537519
290,Central and Southern Asia,Pakistan,2010,15-24,female,0.6229837
291,Central and Southern Asia,Pakistan,2010,15-24,male,0.7950414000000001
292,Central and Southern Asia,Pakistan,2010,15-24,total,0.7125962
293,Central and Southern Asia,Pakistan,2010,25-64,female,0.3098942
294,Central and Southern Asia,Pakistan,2010,25-64,male,0.6610506999999999
295,Central and Southern Asia,Pakistan,2010,25-64,total,0.4868410999999999
296,Central and Southern Asia,Pakistan,2010,65+,female,0.2375533
297,Central and Southern Asia,Pakistan,2010,65+,male,0.3577518
298,Central and Southern Asia,Pakistan,2010,65+,total,0.2485195999999999
299,Central and Southern Asia,Pakistan,2011,15+,female,0.4197538999999999
300,Central and Southern Asia,Pakistan,2011,15+,male,0.6699114
301,Central and Southern Asia,Pakistan,2011,15+,total,0.5473801999999999
302,Central and Southern Asia,Pakistan,2011,15-24,female,0.6313680999999999
303,Central and Southern Asia,Pakistan,2011,15-24,male,0.7804242000000001
304,Central and Southern Asia,Pakistan,2011,15-24,total,0.7076932999999999
305,Central and Southern Asia,Pakistan,2011,25-64,female,0.3191161
306,Central and Southern Asia,Pakistan,2011,25-64,male,0.6411115
307,Central and Southern Asia,Pakistan,2011,25-64,total,0.4802751
308,Central and Southern Asia,Pakistan,2011,65+,female,0.0988372
309,Central and Southern Asia,Pakistan,2011,65+,male,0.3372525
310,Central and Southern Asia,Pakistan,2011,65+,total,0.2397586
311,Central and Southern Asia,Pakistan,2012,15+,female,0.4307189
312,Central and Southern Asia,Pakistan,2012,15+,male,0.6985822
313,Central and Southern Asia,Pakistan,2012,15+,total,0.5676434
314,Central and Southern Asia,Pakistan,2012,15-24,female,0.6447410000000001
315,Central and Southern Asia,Pakistan,2012,15-24,male,0.8028825999999998
316,Central and Southern Asia,Pakistan,2012,15-24,total,0.7258341999999999
317,Central and Southern Asia,Pakistan,2012,25-64,female,0.3266763
318,Central and Southern Asia,Pakistan,2012,25-64,male,0.6706964
319,Central and Southern Asia,Pakistan,2012,25-64,total,0.4995342
320,Central and Southern Asia,Pakistan,2012,65+,female,0.0948671
321,Central and Southern Asia,Pakistan,2012,65+,male,0.3680466
322,Central and Southern Asia,Pakistan,2012,65+,total,0.2550245999999999
323,Central and Southern Asia,Pakistan,2013,15+,female,0.4197493999999999
324,Central and Southern Asia,Pakistan,2013,15+,male,0.6862933999999999
325,Central and Southern Asia,Pakistan,2013,15+,total,0.5559499
326,Central and Southern Asia,Pakistan,2013,15-24,female,0.63438
327,Central and Southern Asia,Pakistan,2013,15-24,male,0.7940380999999999
328,Central and Southern Asia,Pakistan,2013,15-24,total,0.7163622
329,Central and Southern Asia,Pakistan,2013,25-64,female,0.3170222
330,Central and Southern Asia,Pakistan,2013,25-64,male,0.6578542
331,Central and Southern Asia,Pakistan,2013,25-64,total,0.487948
332,Central and Southern Asia,Pakistan,2013,65+,female,0.091318
333,Central and Southern Asia,Pakistan,2013,65+,male,0.3531457
334,Central and Southern Asia,Pakistan,2013,65+,total,0.2450797999999999
335,Central and Southern Asia,Pakistan,2014,15+,female,0.4428342
336,Central and Southern Asia,Pakistan,2014,15+,male,0.6906681
337,Central and Southern Asia,Pakistan,2014,15+,total,0.5697714999999999
338,Central and Southern Asia,Pakistan,2014,15-24,female,0.6554779
339,Central and Southern Asia,Pakistan,2014,15-24,male,0.7976598
340,Central and Southern Asia,Pakistan,2014,15-24,total,0.7279539999999999
341,Central and Southern Asia,Pakistan,2014,25-64,female,0.3377221
342,Central and Southern Asia,Pakistan,2014,25-64,male,0.6624576999999999
343,Central and Southern Asia,Pakistan,2014,25-64,total,0.5017696999999999
344,Central and Southern Asia,Pakistan,2014,65+,female,0.0996258
345,Central and Southern Asia,Pakistan,2014,65+,male,0.3570520999999999
346,Central and Southern Asia,Pakistan,2014,65+,total,0.2529323
347,Central and Southern Asia,Pakistan,2017,15+,female,0.4646767
348,Central and Southern Asia,Pakistan,2017,15+,male,0.71116
349,Central and Southern Asia,Pakistan,2017,15+,total,0.5913205
350,Central and Southern Asia,Pakistan,2017,15-24,female,0.6753713
351,Central and Southern Asia,Pakistan,2017,15-24,male,0.8126352
352,Central and Southern Asia,Pakistan,2017,15-24,total,0.7452638
353,Central and Southern Asia,Pakistan,2017,25-64,female,0.3573591999999999
354,Central and Southern Asia,Pakistan,2017,25-64,male,0.6838682
355,Central and Southern Asia,Pakistan,2017,25-64,total,0.5233925
356,Central and Southern Asia,Pakistan,2017,65+,female,0.1067683
357,Central and Southern Asia,Pakistan,2017,65+,male,0.3814393999999999
358,Central and Southern Asia,Pakistan,2017,65+,total,0.2706483
359,Central and Southern Asia,Sri Lanka,2010,15+,female,0.8995868
360,Central and Southern Asia,Sri Lanka,2010,15+,male,0.9257847
361,Central and Southern Asia,Sri Lanka,2010,15+,total,0.9118136
362,Central and Southern Asia,Sri Lanka,2010,15-24,female,0.9858897
363,Central and Southern Asia,Sri Lanka,2010,15-24,male,0.9768653999999998
364,Central and Southern Asia,Sri Lanka,2010,15-24,total,0.9815793
365,Central and Southern Asia,Sri Lanka,2010,25-64,female,0.9076137
366,Central and Southern Asia,Sri Lanka,2010,25-64,male,0.9213229
367,Central and Southern Asia,Sri Lanka,2010,25-64,total,0.9140077
368,Central and Southern Asia,Sri Lanka,2010,65+,female,0.6979488
369,Central and Southern Asia,Sri Lanka,2010,65+,male,0.8519763
370,Central and Southern Asia,Sri Lanka,2010,65+,total,0.7669585999999999
371,Central and Southern Asia,Sri Lanka,2016,15+,female,0.9148611
372,Central and Southern Asia,Sri Lanka,2016,15+,male,0.9345589
373,Central and Southern Asia,Sri Lanka,2016,15+,total,0.923869
374,Central and Southern Asia,Sri Lanka,2016,15-24,female,0.9894489
375,Central and Southern Asia,Sri Lanka,2016,15-24,male,0.9841123
376,Central and Southern Asia,Sri Lanka,2016,15-24,total,0.9868899
377,Central and Southern Asia,Sri Lanka,2016,25-64,female,0.9273122
378,Central and Southern Asia,Sri Lanka,2016,25-64,male,0.9335104
379,Central and Southern Asia,Sri Lanka,2016,25-64,total,0.9301271
380,Central and Southern Asia,Sri Lanka,2016,65+,female,0.7631018
381,Central and Southern Asia,Sri Lanka,2016,65+,male,0.8683014
382,Central and Southern Asia,Sri Lanka,2016,65+,total,0.8096995
383,Central and Southern Asia,Sri Lanka,2017,15+,female,0.9097074
384,Central and Southern Asia,Sri Lanka,2017,15+,male,0.9298055
385,Central and Southern Asia,Sri Lanka,2017,15+,total,0.9189575
386,Central and Southern Asia,Sri Lanka,2017,15-24,female,0.9914777
387,Central and Southern Asia,Sri Lanka,2017,15-24,male,0.9854505
388,Central and Southern Asia,Sri Lanka,2017,15-24,total,0.9885646
389,Central and Southern Asia,Sri Lanka,2017,25-64,female,0.9213981
390,Central and Southern Asia,Sri Lanka,2017,25-64,male,0.926704
391,Central and Southern Asia,Sri Lanka,2017,25-64,total,0.9238249
392,Central and Southern Asia,Sri Lanka,2017,65+,female,0.7544446999999999
393,Central and Southern Asia,Sri Lanka,2017,65+,male,0.864462
394,Central and Southern Asia,Sri Lanka,2017,65+,total,0.8032131
395,Central and Southern Asia,Tajikistan,2014,15+,female,0.997
396,Central and Southern Asia,Tajikistan,2014,15+,male,0.9982
397,Central and Southern Asia,Tajikistan,2014,15+,total,0.998
398,Central and Southern Asia,Tajikistan,2014,15-24,female,0.999
399,Central and Southern Asia,Tajikistan,2014,15-24,male,0.9986
400,Central and Southern Asia,Tajikistan,2014,15-24,total,0.999
401,Central and Southern Asia,Tajikistan,2014,25-64,female,0.998
402,Central and Southern Asia,Tajikistan,2014,25-64,male,0.9985
403,Central and Southern Asia,Tajikistan,2014,25-64,total,0.998
404,Central and Southern Asia,Tajikistan,2014,65+,female,0.971
